. Sequence file : [sup35_aln_best_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.21095  -1.66149   0.10897   1.34156  
      	     	          	           	          	           	             	                                      	 0.58694   0.09222  -0.71961   0.04046  
      	     	          	           	          	           	             	                                      	 0.15146   1.18825   0.04234  -1.38205  

  #38	10   	-9776.13011	Yes        	4        	0.609    	0.150    	 0.35520   0.19404   0.21896   0.23180	-0.66165   0.13578   0.42612   0.09975  
      	     	          	           	          	           	             	                                      	 0.24856  -1.54651   0.14204   1.15591  
      	     	          	           	          	           	             	                                      	 0.69125   0.12587  -0.87709   0.05997  
      	     	          	           	          	           	             	                                      	 0.15285   0.96761   0.05665  -1.17711  

  #39	10   	-9598.76742	Yes        	4        	0.770    	0.257    	 0.36126   0.19622   0.21220   0.23032	-0.63073   0.10459   0.42509   0.10105  
      	     	          	           	          	           	             	                                      	 0.19257  -1.53962   0.17456   1.17249  
      	     	          	           	          	           	             	                                      	 0.72368   0.16141  -0.92196   0.03687  
      	     	          	           	          	           	             	                                      	 0.15850   0.99891   0.03397  -1.19139  

  #40	10   	-9924.88530	Yes        	4        	0.684    	0.197    	 0.35244   0.17842   0.22738   0.24176	-0.60298   0.11486   0.41527   0.07284  
      	     	          	           	          	           	             	                                      	 0.22689  -1.75230   0.12651   1.39890  
      	     	          	           	          	           	             	                                      	 0.64369   0.09927  -0.81032   0.06736  
      	     	          	           	          	           	             	                                      	 0.10619   1.03243   0.06335  -1.20197  

  #41	10   	-9638.97149	Yes        	4        	0.650    	0.205    	 0.34126   0.18926   0.22205   0.24742	-0.61933   0.09143   0.42028   0.10761  
      	     	          	           	          	           	             	                                      	 0.16486  -1.62519   0.13910   1.32123  
      	     	          	           	          	           	             	                                      	 0.64592   0.11856  -0.81969   0.05521  
      	     	          	           	          	           	             	                                      	 0.14843   1.01067   0.04955  -1.20865  

  #42	10   	-9507.66957	Yes        	4        	0.725    	0.212    	 0.33971   0.20080   0.23290   0.22659	-0.63571   0.12700   0.40593   0.10278  
      	     	          	           	          	           	             	                                      	 0.21484  -1.61483   0.14561   1.25438  
      	     	          	           	          	           	             	                                      	 0.59210   0.12554  -0.73018   0.01254  
      	     	          	           	          	           	             	                                      	 0.15409   1.11164   0.01289  -1.27862  

  #43	10   	-9611.49050	Yes        	4        	0.777    	0.200    	 0.34724   0.18363   0.22850   0.24063	-0.64331   0.12908   0.42438   0.08986  
      	     	          	           	          	           	             	                                      	 0.24409  -1.70036   0.18370   1.27258  
      	     	          	           	          	           	             	                                      	 0.64492   0.14763  -0.83281   0.04026  
      	     	          	           	          	           	             	                                      	 0.12967   0.97112   0.03823  -1.13901  

  #44	10   	-9584.16435	Yes        	4        	0.592    	0.192    	 0.32862   0.18982   0.23652   0.24504	-0.66679   0.12091   0.45653   0.08935  
      	     	          	           	          	           	             	                                      	 0.20932  -1.63364   0.19102   1.23330  
      	     	          	           	          	           	             	                                      	 0.63431   0.15331  -0.83205   0.04443  
      	     	          	           	          	           	             	                                      	 0.11983   0.95541   0.04289  -1.11812  

  #45	10   	-9859.20672	Yes        	4        	0.620    	0.180    	 0.33701   0.19512   0.22506   0.24281	-0.62234   0.14296   0.40795   0.07143  
      	     	          	           	          	           	             	                                      	 0.24691  -1.71958   0.17701   1.29566  
      	     	          	           	          	           	             	                                      	 0.61087   0.15346  -0.77729   0.01296  
      	     	          	           	          	           	             	                                      	 0.09915   1.04120   0.01201  -1.15236  

  #46	10   	-9687.69274	Yes        	4        	0.751    	0.253    	 0.34083   0.19944   0.21979   0.23994	-0.69375   0.13321   0.45679   0.10374  
      	     	          	           	          	           	             	                                      	 0.22765  -1.49468   0.09885   1.16818  
      	     	          	           	          	           	             	                                      	 0.70836   0.08970  -0.84742   0.04936  
      	     	          	           	          	           	             	                                      	 0.14737   0.97102   0.04522  -1.16361  

  #47	10   	-9722.07750	Yes        	4        	0.886    	0.253    	 0.33956   0.18491   0.22652   0.24901	-0.64605   0.11107   0.43429   0.10069  
      	     	          	           	          	           	             	                                      	 0.20397  -1.63413   0.17275   1.25742  
      	     	          	           	          	           	             	                                      	 0.65101   0.14101  -0.86346   0.07144  
      	     	          	           	          	           	             	                                      	 0.13730   0.93371   0.06499  -1.13599  

  #48	10   	-9488.75927	Yes        	4        	0.554    	0.169    	 0.36243   0.17417   0.23299   0.23041	-0.58937   0.08215   0.42779   0.07944  
      	     	          	           	          	           	             	                                      	 0.17094  -1.74749   0.16609   1.41046  
      	     	          	           	          	           	             	                                      	 0.66544   0.12416  -0.84026   0.05066  
      	     	          	           	          	           	             	                                      	 0.12495   1.06620   0.05123  -1.24238  

  #49	10   	-9885.66886	Yes        	4        	1.113    	0.289    	 0.34259   0.18893   0.21923   0.24925	-0.63748   0.10278   0.43475   0.09995  
      	     	          	           	          	           	             	                                      	 0.18638  -1.61972   0.12554   1.30780  
      	     	          	           	          	           	             	                                      	 0.67938   0.10819  -0.83686   0.04929  
      	     	          	           	          	           	             	                                      	 0.13739   0.99130   0.04335  -1.17204  

  #50	10   	-9710.44226	Yes        	4        	0.636    	0.222    	 0.35296   0.18181   0.22289   0.24234	-0.65990   0.10019   0.48700   0.07271  
      	     	          	           	          	           	             	                                      	 0.19450  -1.58208   0.17226   1.21533  
      	     	          	           	          	           	             	                                      	 0.77120   0.14051  -0.97812   0.06640  
      	     	          	           	          	           	             	                                      	 0.10590   0.91180   0.06107  -1.07877  

  #51	10   	-9759.09705	Yes        	4        	0.733    	0.244    	 0.33380   0.19296   0.23431   0.23893	-0.62628   0.09129   0.43836   0.09663  
      	     	          	           	          	           	             	                                      	 0.15792  -1.58547   0.14807   1.27949  
      	     	          	           	          	           	             	                                      	 0.62450   0.12193  -0.81256   0.06612  
      	     	          	           	          	           	             	                                      	 0.13500   1.03328   0.06484  -1.23312  

  #52	10   	-9645.42492	Yes        	4        	0.587    	0.202    	 0.35475   0.19030   0.22177   0.23318	-0.58492   0.12616   0.37096   0.08780  
      	     	          	           	          	           	             	                                      	 0.23518  -1.72637   0.14456   1.34663  
      	     	          	           	          	           	             	                                      	 0.59341   0.12404  -0.75680   0.03934  
      	     	          	           	          	           	             	                                      	 0.13358   1.09901   0.03742  -1.27001  

  #53	10   	-9311.85410	Yes        	4        	0.826    	0.244    	 0.34609   0.19679   0.21020   0.24693	-0.58782   0.11425   0.40214   0.07143  
      	     	          	           	          	           	             	                                      	 0.20093  -1.67148   0.16340   1.30715  
      	     	          	           	          	           	             	                                      	 0.66212   0.15297  -0.84925   0.03416  
      	     	          	           	          	           	             	                                      	 0.10011   1.04170   0.02908  -1.17090  

  #54	10   	-9820.55822	Yes        	4        	0.696    	0.188    	 0.33775   0.19344   0.23142   0.23739	-0.66314   0.13151   0.43604   0.09559  
      	     	          	           	          	           	             	                                      	 0.22962  -1.57212   0.12590   1.21660  
      	     	          	           	          	           	             	                                      	 0.63637   0.10523  -0.81217   0.07056  
      	     	          	           	          	           	             	                                      	 0.13600   0.99138   0.06879  -1.19617  

  #55	10   	-9863.08768	Yes        	4        	0.552    	0.167    	 0.34201   0.19387   0.21947   0.24464	-0.65306   0.14460   0.42988   0.07858  
      	     	          	           	          	           	             	                                      	 0.25509  -1.63493   0.14807   1.23177  
      	     	          	           	          	           	             	                                      	 0.66990   0.13080  -0.84232   0.04163  
      	     	          	           	          	           	             	                                      	 0.10985   0.97614   0.03734  -1.12334  

  #56	10   	-9597.38299	Yes        	4        	0.484    	0.124    	 0.36003   0.20629   0.20673   0.22694	-0.58714   0.12397   0.39475   0.06842  
      	     	          	           	          	           	             	                                      	 0.21637  -1.55621   0.12537   1.21448  
      	     	          	           	          	           	             	                                      	 0.68747   0.12510  -0.87164   0.05907  
      	     	          	           	          	           	             	                                      	 0.10855   1.10395   0.05381  -1.26631  

