. Sequence file : [sup35_aln_best_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #35	10   	-9867.97110	Yes        	4        	1.839    	0.398    	 0.32980   0.19266   0.24233   0.23521	-0.68529   0.10356   0.46371   0.11802  
      	     	          	           	          	           	             	                                      	 0.17728  -1.53096   0.15237   1.20131  
      	     	          	           	          	           	             	                                      	 0.63109   0.12114  -0.80665   0.05442  
      	     	          	           	          	           	             	                                      	 0.16549   0.98402   0.05606  -1.20557  

  #36	10   	-9695.61680	Yes        	4        	1.839    	0.398    	 0.35244   0.20106   0.21726   0.22925	-0.73318   0.09672   0.50525   0.13120  
      	     	          	           	          	           	             	                                      	 0.16955  -1.30995   0.15656   0.98384  
      	     	          	           	          	           	             	                                      	 0.81962   0.14488  -1.02120   0.05669  
      	     	          	           	          	           	             	                                      	 0.20171   0.86285   0.05372  -1.11828  

  #37	10   	-9993.84428	Yes        	4        	1.839    	0.398    	 0.33529   0.19945   0.21457   0.25069	-0.65287   0.11657   0.43138   0.10491  
      	     	          	           	          	           	             	                                      	 0.19597  -1.56508   0.15688   1.21223  
      	     	          	           	          	           	             	                                      	 0.67407   0.14582  -0.85734   0.03745  
      	     	          	           	          	           	             	                                      	 0.14031   0.96445   0.03205  -1.13681  

  #38	10   	-9649.36615	Yes        	4        	1.839    	0.398    	 0.33346   0.19081   0.22932   0.24641	-0.69232   0.12342   0.47268   0.09622  
      	     	          	           	          	           	             	                                      	 0.21569  -1.61123   0.15244   1.24309  
      	     	          	           	          	           	             	                                      	 0.68735   0.12684  -0.82662   0.01243  
      	     	          	           	          	           	             	                                      	 0.13022   0.96263   0.01157  -1.10441  

  #39	10   	-10019.85628	Yes        	4        	1.839    	0.398    	 0.33395   0.19441   0.22994   0.24170	-0.61203   0.11529   0.39962   0.09712  
      	     	          	           	          	           	             	                                      	 0.19804  -1.64966   0.12803   1.32358  
      	     	          	           	          	           	             	                                      	 0.58038   0.10825  -0.74692   0.05829  
      	     	          	           	          	           	             	                                      	 0.13419   1.06462   0.05545  -1.25426  

  #40	10   	-9519.20926	Yes        	4        	1.839    	0.398    	 0.34842   0.18164   0.23336   0.23658	-0.63808   0.09991   0.38914   0.14903  
      	     	          	           	          	           	             	                                      	 0.19166  -1.66931   0.18523   1.29242  
      	     	          	           	          	           	             	                                      	 0.58103   0.14418  -0.76497   0.03977  
      	     	          	           	          	           	             	                                      	 0.21948   0.99226   0.03923  -1.25097  

  #41	10   	-9571.07238	Yes        	4        	1.839    	0.398    	 0.34502   0.19504   0.23126   0.22868	-0.65254   0.12362   0.43617   0.09274  
      	     	          	           	          	           	             	                                      	 0.21868  -1.54532   0.11293   1.21370  
      	     	          	           	          	           	             	                                      	 0.65071   0.09524  -0.81564   0.06969  
      	     	          	           	          	           	             	                                      	 0.13993   1.03517   0.07048  -1.24558  

  #42	10   	-9542.15938	Yes        	4        	1.839    	0.398    	 0.33153   0.19627   0.23385   0.23835	-0.64791   0.10810   0.41764   0.12217  
      	     	          	           	          	           	             	                                      	 0.18260  -1.62070   0.17840   1.25970  
      	     	          	           	          	           	             	                                      	 0.59210   0.14973  -0.75443   0.01260  
      	     	          	           	          	           	             	                                      	 0.16992   1.03727   0.01236  -1.21955  

  #43	10   	-9818.62216	Yes        	4        	1.839    	0.398    	 0.32999   0.19120   0.24004   0.23877	-0.70739   0.11909   0.45870   0.12959  
      	     	          	           	          	           	             	                                      	 0.20554  -1.52320   0.14303   1.17463  
      	     	          	           	          	           	             	                                      	 0.63059   0.11393  -0.80548   0.06096  
      	     	          	           	          	           	             	                                      	 0.17910   0.94062   0.06128  -1.18100  

  #44	10   	-9884.22236	Yes        	4        	1.839    	0.398    	 0.33263   0.20805   0.23381   0.22552	-0.72027   0.12309   0.49371   0.10348  
      	     	          	           	          	           	             	                                      	 0.19680  -1.39969   0.15663   1.04626  
      	     	          	           	          	           	             	                                      	 0.70238   0.13937  -0.88519   0.04344  
      	     	          	           	          	           	             	                                      	 0.15263   0.96522   0.04504  -1.16289  

  #45	10   	-9735.87006	Yes        	4        	1.839    	0.398    	 0.33113   0.19138   0.21603   0.26147	-0.65545   0.10896   0.44388   0.10260  
      	     	          	           	          	           	             	                                      	 0.18853  -1.65280   0.19834   1.26593  
      	     	          	           	          	           	             	                                      	 0.68039   0.17571  -0.86876   0.01266  
      	     	          	           	          	           	             	                                      	 0.12994   0.92657   0.01046  -1.06697  

  #46	10   	-9882.92706	Yes        	4        	1.839    	0.398    	 0.34659   0.18471   0.21344   0.25526	-0.65833   0.10464   0.44670   0.10699  
      	     	          	           	          	           	             	                                      	 0.19635  -1.64764   0.18302   1.26827  
      	     	          	           	          	           	             	                                      	 0.72535   0.15838  -0.90136   0.01763  
      	     	          	           	          	           	             	                                      	 0.14528   0.91773   0.01474  -1.07776  

  #47	10   	-9757.38912	Yes        	4        	1.839    	0.398    	 0.34000   0.19086   0.24074   0.22840	-0.74209   0.11293   0.50318   0.12598  
      	     	          	           	          	           	             	                                      	 0.20117  -1.44860   0.15097   1.09645  
      	     	          	           	          	           	             	                                      	 0.71065   0.11969  -0.87022   0.03988  
      	     	          	           	          	           	             	                                      	 0.18753   0.91628   0.04203  -1.14585  

  #48	10   	-9772.68623	Yes        	4        	1.839    	0.398    	 0.34351   0.21082   0.23100   0.21466	-0.63726   0.12340   0.42166   0.09220  
      	     	          	           	          	           	             	                                      	 0.20107  -1.46715   0.14847   1.11761  
      	     	          	           	          	           	             	                                      	 0.62703   0.13550  -0.82389   0.06135  
      	     	          	           	          	           	             	                                      	 0.14754   1.09762   0.06602  -1.31118  

  #49	10   	-9703.52964	Yes        	4        	1.839    	0.398    	 0.35302   0.18697   0.20571   0.25430	-0.58968   0.11141   0.38853   0.08973  
      	     	          	           	          	           	             	                                      	 0.21036  -1.69284   0.16245   1.32003  
      	     	          	           	          	           	             	                                      	 0.66674   0.14765  -0.88560   0.07121  
      	     	          	           	          	           	             	                                      	 0.12457   0.97056   0.05761  -1.15274  

  #50	10   	-9899.55418	Yes        	4        	1.839    	0.398    	 0.35427   0.20096   0.21705   0.22773	-0.63244   0.12088   0.41448   0.09707  
      	     	          	           	          	           	             	                                      	 0.21310  -1.52289   0.15160   1.15819  
      	     	          	           	          	           	             	                                      	 0.67653   0.14036  -0.87557   0.05868  
      	     	          	           	          	           	             	                                      	 0.15102   1.02203   0.05593  -1.22898  

  #51	10   	-9527.35257	Yes        	4        	1.839    	0.398    	 0.32164   0.19114   0.24810   0.23912	-0.73111   0.14512   0.50691   0.07909  
      	     	          	           	          	           	             	                                      	 0.24420  -1.55978   0.09450   1.22108  
      	     	          	           	          	           	             	                                      	 0.65717   0.07281  -0.78392   0.05394  
      	     	          	           	          	           	             	                                      	 0.10638   0.97606   0.05597  -1.13841  

  #52	10   	-9882.89456	Yes        	4        	1.839    	0.398    	 0.33632   0.20317   0.21572   0.24479	-0.64080   0.12241   0.40059   0.11781  
      	     	          	           	          	           	             	                                      	 0.20263  -1.54163   0.16115   1.17785  
      	     	          	           	          	           	             	                                      	 0.62455   0.15178  -0.83400   0.05767  
      	     	          	           	          	           	             	                                      	 0.16186   0.97758   0.05082  -1.19026  

  #53	10   	-9726.68205	Yes        	4        	1.839    	0.398    	 0.34452   0.19765   0.22069   0.23714	-0.61938   0.11110   0.40366   0.10463  
      	     	          	           	          	           	             	                                      	 0.19365  -1.56019   0.11147   1.25507  
      	     	          	           	          	           	             	                                      	 0.63016   0.09984  -0.80481   0.07481  
      	     	          	           	          	           	             	                                      	 0.15200   1.04607   0.06962  -1.26769  

  #54	10   	-9650.96840	Yes        	4        	1.839    	0.398    	 0.33153   0.20061   0.23651   0.23134	-0.61191   0.11021   0.40085   0.10085  
      	     	          	           	          	           	             	                                      	 0.18213  -1.64817   0.18578   1.28026  
      	     	          	           	          	           	             	                                      	 0.56189   0.15758  -0.73227   0.01280  
      	     	          	           	          	           	             	                                      	 0.14452   1.11019   0.01309  -1.26780  

  #55	10   	-9499.00155	Yes        	4        	1.839    	0.398    	 0.34630   0.19200   0.22043   0.24127	-0.61740   0.10654   0.41165   0.09920  
      	     	          	           	          	           	             	                                      	 0.19217  -1.63086   0.17895   1.25975  
      	     	          	           	          	           	             	                                      	 0.64671   0.15587  -0.84778   0.04520  
      	     	          	           	          	           	             	                                      	 0.14238   1.00251   0.04130  -1.18619  

  #56	10   	-10155.15644	Yes        	4        	1.839    	0.398    	 0.33228   0.19835   0.23065   0.23873	-0.67036   0.11249   0.47025   0.08762  
      	     	          	           	          	           	             	                                      	 0.18845  -1.54205   0.19091   1.16269  
      	     	          	           	          	           	             	                                      	 0.67744   0.16417  -0.87966   0.03805  
      	     	          	           	          	           	             	                                      	 0.12195   0.96602   0.03676  -1.12473  

  #57	10   	-9557.79747	Yes        	4        	1.839    	0.398    	 0.34993   0.18212   0.23750   0.23044	-0.65732   0.10195   0.41942   0.13595  
      	     	          	           	          	           	             	                                      	 0.19589  -1.64653   0.15022   1.30042  
      	     	          	           	          	           	             	                                      	 0.61797   0.11519  -0.75752   0.02436  
      	     	          	           	          	           	             	                                      	 0.20645   1.02775   0.02511  -1.25930  

  #58	10   	-9578.15980	Yes        	4        	1.839    	0.398    	 0.34450   0.18110   0.23217   0.24222	-0.56444   0.09942   0.36280   0.10221  
      	     	          	           	          	           	             	                                      	 0.18913  -1.85718   0.17840   1.48965  
      	     	          	           	          	           	             	                                      	 0.53834   0.13916  -0.69239   0.01490  
      	     	          	           	          	           	             	                                      	 0.14537   1.11379   0.01428  -1.27344  

  #59	10   	-9714.01686	Yes        	4        	1.839    	0.398    	 0.34005   0.19002   0.23012   0.23980	-0.65500   0.11714   0.42949   0.10838  
      	     	          	           	          	           	             	                                      	 0.20962  -1.59806   0.11747   1.27097  
      	     	          	           	          	           	             	                                      	 0.63465   0.09701  -0.79001   0.05836  
      	     	          	           	          	           	             	                                      	 0.15368   1.00713   0.05600  -1.21682  

  #60	10   	-9959.52299	Yes        	4        	1.839    	0.398    	 0.34662   0.20704   0.21490   0.23144	-0.68216   0.10580   0.43711   0.13925  
      	     	          	           	          	           	             	                                      	 0.17712  -1.39094   0.15009   1.06373  
      	     	          	           	          	           	             	                                      	 0.70504   0.14461  -0.90658   0.05694  
      	     	          	           	          	           	             	                                      	 0.20855   0.95161   0.05287  -1.21304  

  #61	10   	-9602.73232	Yes        	4        	1.839    	0.398    	 0.33706   0.18790   0.22500   0.25005	-0.59642   0.09570   0.38150   0.11922  
      	     	          	           	          	           	             	                                      	 0.17167  -1.74578   0.14928   1.42483  
      	     	          	           	          	           	             	                                      	 0.57150   0.12466  -0.71040   0.01425  
      	     	          	           	          	           	             	                                      	 0.16070   1.07067   0.01282  -1.24419  

  #62	10   	-9816.39302	Yes        	4        	1.839    	0.398    	 0.32269   0.20136   0.22892   0.24702	-0.66736   0.12445   0.44425   0.09866  
      	     	          	           	          	           	             	                                      	 0.19943  -1.55112   0.13281   1.21888  
      	     	          	           	          	           	             	                                      	 0.62622   0.11682  -0.79751   0.05447  
      	     	          	           	          	           	             	                                      	 0.12888   0.99359   0.05048  -1.17294  

  #63	10   	-9681.87671	Yes        	4        	1.839    	0.398    	 0.32936   0.20375   0.21735   0.24954	-0.67032   0.11404   0.46145   0.09483  
      	     	          	           	          	           	             	                                      	 0.18434  -1.53342   0.12860   1.22048  
      	     	          	           	          	           	             	                                      	 0.69924   0.12055  -0.83984   0.02004  
      	     	          	           	          	           	             	                                      	 0.12516   0.99649   0.01746  -1.13911  

  #64	10   	-9942.26478	Yes        	4        	1.839    	0.398    	 0.35113   0.18789   0.22844   0.23254	-0.63821   0.10088   0.45705   0.08029  
      	     	          	           	          	           	             	                                      	 0.18852  -1.58974   0.13835   1.26287  
      	     	          	           	          	           	             	                                      	 0.70251   0.11379  -0.87160   0.05530  
      	     	          	           	          	           	             	                                      	 0.12123   1.02037   0.05433  -1.19593  

  #65	10   	-9637.76838	Yes        	4        	1.839    	0.398    	 0.34387   0.19267   0.21899   0.24447	-0.65376   0.13982   0.43007   0.08388  
      	     	          	           	          	           	             	                                      	 0.24954  -1.60872   0.11558   1.24360  
